id,name,original_name,first_air_date,last_air_date,num_seasons,num_episodes,languages,genres,origin_country,popularity,vote_average,vote_count,available_in_vietnam
224372,Kỵ Sĩ Của Bảy Vương Quốc,A Knight of the Seven Kingdoms,2026-01-18,2026-02-22,1,6,['en'],"['Phim Chính Kịch', 'Sci-Fi & Fantasy', 'Action & Adventure']",['US'],432.9508,8.5,432,False
1416,Ca Phẫu Thuật Của Grey,Grey's Anatomy,2005-03-27,2026-01-29,22,465,['en'],['Phim Chính Kịch'],['US'],242.5176,8.21,10777,False
79744,Lính Mới,The Rookie,2018-10-16,2026-02-16,8,144,['en'],"['Phim Hình Sự', 'Phim Chính Kịch', 'Phim Hài']",['US'],247.1446,8.533,2976,False
1622,Siêu Nhiên,Supernatural,2005-09-13,2020-11-19,15,327,['en'],"['Phim Chính Kịch', 'Phim Bí Ẩn', 'Sci-Fi & Fantasy']",['US'],212.2066,8.3,8237,False
456,Gia Đình Simpson,The Simpsons,1989-12-17,2026-02-15,37,801,['en'],"['Phim Gia Đình', 'Phim Hoạt Hình', 'Phim Hài']",['US'],210.6184,8.012,10584,False
1434,Family Guy,Family Guy,1999-01-31,2026-02-22,24,448,['en'],"['Phim Hoạt Hình', 'Phim Hài']",['US'],190.0919,7.39,4805,False
66732,Cậu bé mất tích,Stranger Things,2016-07-15,2025-12-31,5,42,['en'],"['Sci-Fi & Fantasy', 'Phim Bí Ẩn', 'Action & Adventure']",['US'],192.51,8.6,20698,False
94722,Tagesschau,Tagesschau,1952-12-26,2025-09-18,75,21333,['de'],['News'],['DE'],224.3072,6.8,245,False
19530,霹靂布袋戲,霹靂布袋戲,1988-06-01,2025-10-24,88,2958,[],"['Action & Adventure', 'Phim Chính Kịch']","['TW', 'CN']",176.7925,6.9,7,False
95479,Chú Thuật Hồi Chiến,呪術廻戦,2020-10-03,2026-02-13,1,59,['ja'],"['Phim Hoạt Hình', 'Action & Adventure', 'Sci-Fi & Fantasy']",['JP'],178.3712,8.562,4208,False
2734,Luật Pháp Và Trật Tự: Nạn Nhân Đặc Biệt,Law & Order: Special Victims Unit,1999-09-20,2026-01-29,27,589,['en'],"['Phim Hình Sự', 'Phim Chính Kịch', 'Phim Bí Ẩn']",['US'],179.6726,7.9,4129,False
4614,NCIS,NCIS,2003-09-23,2025-12-16,23,500,['en'],"['Phim Hình Sự', 'Phim Chính Kịch', 'Action & Adventure']",['US'],170.6145,7.623,2456,False
549,Law & Order,Law & Order,1990-09-13,2026-01-29,25,536,['en'],"['Phim Hình Sự', 'Phim Chính Kịch']",['US'],175.7613,7.337,667,False
241372,56 Ngày,56 Days,2026-02-18,2026-02-18,1,8,['en'],"['Phim Hình Sự', 'Phim Chính Kịch', 'Phim Bí Ẩn']",['US'],163.859,5.0,30,False
1399,Trò Chơi Vương Quyền,Game of Thrones,2011-04-17,2019-05-19,8,73,['en'],"['Sci-Fi & Fantasy', 'Phim Chính Kịch', 'Action & Adventure']",['US'],159.679,8.459,26321,False
22980,Watch What Happens Live with Andy Cohen,Watch What Happens Live with Andy Cohen,2009-07-16,2026-01-29,23,3080,['en'],"['Talk', 'Phim Hài']",['US'],155.917,5.0,81,False
4656,Raw,Raw,1993-01-11,2026-02-16,34,1712,['en'],['Reality'],['US'],158.215,6.8,350,False
1408,Bác Sĩ House,House,2004-11-16,2012-05-21,8,176,['en'],['Phim Chính Kịch'],['US'],153.8006,8.576,7359,False
2224,The Daily Show,The Daily Show,1996-07-22,2026-01-15,31,4184,['en'],"['News', 'Phim Hài']",['US'],140.6215,6.395,617,False
65733,Doraemon,ドラえもん,2005-04-22,2026-01-31,1,1445,['ja'],"['Action & Adventure', 'Phim Hoạt Hình', 'Phim Hài', 'Sci-Fi & Fantasy', 'Kids', 'Phim Gia Đình']",['JP'],166.0789,8.0,204,False
